nohup: ignoring input
lat 41.937 and lon -72.682

Locations with extreme precip on 20231210:
lat 43.205 and lon -71.503
lat 39.452 and lon -74.567
lat 39.173 and lon -76.684
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 39.873 and lon -75.227
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682

Locations with extreme precip on 20231218:
lat 43.205 and lon -71.503
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 42.361 and lon -71.010
lat 38.341 and lon -75.513
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.207 and lon -75.980
lat 42.747 and lon -73.799
lat 44.933 and lon -74.848
lat 39.873 and lon -75.227
lat 39.870 and lon -76.863
lat 41.243 and lon -76.922
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 41.490 and lon -71.543
lat 40.650 and lon -75.448
lat 41.164 and lon -73.127
lat 41.937 and lon -72.682
lat 42.449 and lon -76.449

Locations with extreme precip on 20240109:
lat 39.452 and lon -74.567
lat 40.683 and lon -74.169
lat 38.341 and lon -75.513
lat 39.173 and lon -76.684
lat 39.674 and lon -75.606
lat 40.779 and lon -73.880
lat 40.779 and lon -73.969
lat 42.747 and lon -73.799
lat 39.873 and lon -75.227
lat 41.243 and lon -76.922
lat 41.333 and lon -75.723
lat 40.485 and lon -80.214
lat 40.650 and lon -75.448
lat 41.937 and lon -72.682

Locations with extreme precip on 20241211:
lat 43.642 and lon -70.304
lat 46.870 and lon -68.017
lat 42.361 and lon -71.010
lat 38.341 and lon -75.513
lat 42.207 and lon -75.980
lat 42.747 and lon -73.799
lat 41.243 and lon -76.922
lat 41.333 and lon -75.723
lat 44.468 and lon -73.150
lat 41.490 and lon -71.543

Extreme event occurrences ranked by date:
2023-12-18: 21 stations
1966-02-13: 16 stations
1979-01-21: 15 stations
2011-12-07: 15 stations
2008-02-13: 14 stations
1973-12-21: 14 stations
2024-01-09: 14 stations
1969-12-26: 13 stations
1982-01-04: 13 stations
2019-01-24: 13 stations
2008-02-01: 13 stations
2008-12-11: 13 stations
1976-01-27: 13 stations
1973-02-02: 12 stations
1983-12-13: 12 stations
2023-12-10: 11 stations
1962-01-06: 11 stations
1999-01-03: 11 stations
1968-12-04: 10 stations
2000-12-17: 10 stations
2014-12-09: 10 stations
2024-12-11: 10 stations
1986-01-26: 10 stations
1972-02-19: 10 stations
2010-01-25: 10 stations
2016-02-24: 10 stations
2018-01-12: 10 stations
1967-12-03: 9 stations
1971-02-13: 9 stations
1978-01-09: 9 stations
1978-01-25: 9 stations
1993-12-05: 9 stations
1998-01-23: 9 stations
1983-12-12: 9 stations
1996-01-19: 9 stations
2010-12-01: 9 stations
2008-12-12: 8 stations
2003-12-11: 8 stations
1992-12-11: 8 stations
2004-02-06: 8 stations
1998-01-08: 8 stations
1975-12-26: 7 stations
2010-02-25: 7 stations
2016-01-10: 7 stations
2020-12-05: 7 stations
1996-01-27: 7 stations
1974-12-16: 7 stations
2009-12-09: 7 stations
2018-12-21: 7 stations
1961-02-04: 7 stations
1984-02-15: 7 stations
1988-02-12: 7 stations
2003-02-22: 7 stations
2011-02-25: 7 stations
2005-01-14: 7 stations
1968-12-28: 7 stations
2012-12-21: 7 stations
1960-02-19: 6 stations
1965-02-25: 6 stations
1967-12-12: 6 stations
1969-02-09: 6 stations
1969-12-27: 6 stations
1973-12-17: 6 stations
1977-01-10: 6 stations
1986-12-03: 6 stations
1990-12-04: 6 stations
1993-12-21: 6 stations
1998-02-18: 6 stations
2022-02-04: 6 stations
2024-01-10: 6 stations
1979-02-24: 6 stations
1983-12-22: 6 stations
2022-12-15: 6 stations
2007-02-14: 6 stations
2019-01-20: 6 stations
1978-01-20: 6 stations
1978-12-09: 6 stations
1979-01-24: 6 stations
1981-02-20: 6 stations
1987-01-02: 6 stations
1994-01-28: 6 stations
1974-12-02: 6 stations
1969-12-10: 6 stations
1996-12-13: 6 stations
2020-01-25: 6 stations
2020-12-24: 6 stations
1973-12-09: 6 stations
2006-01-18: 6 stations
2008-02-06: 6 stations
2016-02-16: 6 stations
1962-12-06: 5 stations
1999-01-15: 5 stations
2023-12-11: 5 stations
1970-02-03: 5 stations
1979-01-25: 5 stations
2001-02-05: 5 stations
2006-12-01: 5 stations
2020-12-25: 5 stations
2022-12-23: 5 stations
1968-01-14: 5 stations
2010-02-06: 5 stations
2014-02-13: 5 stations
1970-02-10: 5 stations
2007-01-01: 5 stations
2015-01-18: 5 stations
2015-12-23: 5 stations
2016-01-23: 5 stations
2018-12-16: 5 stations
1984-02-28: 5 stations
1972-02-13: 5 stations
2023-12-27: 5 stations
1975-02-24: 5 stations
1995-01-20: 5 stations
1986-12-02: 5 stations
1990-01-29: 5 stations
1990-02-15: 5 stations
1994-12-05: 5 stations
1990-12-30: 5 stations
1976-12-07: 5 stations
1966-01-30: 4 stations
1966-02-25: 4 stations
1977-12-14: 4 stations
1981-02-24: 4 stations
1981-02-25: 4 stations
1994-12-24: 4 stations
1974-12-08: 4 stations
2020-12-17: 4 stations
1971-02-22: 4 stations
1978-01-13: 4 stations
2007-12-16: 4 stations
2018-02-11: 4 stations
2020-12-16: 4 stations
1987-01-22: 4 stations
1996-01-07: 4 stations
2003-01-01: 4 stations
2019-12-09: 4 stations
1964-12-27: 4 stations
1998-02-24: 4 stations
1977-12-18: 4 stations
1979-01-02: 4 stations
1986-12-24: 4 stations
1983-02-11: 4 stations
1983-01-23: 4 stations
1972-02-03: 4 stations
1971-12-30: 4 stations
1996-12-01: 4 stations
1962-02-24: 4 stations
1978-12-25: 4 stations
1991-12-03: 4 stations
1996-12-02: 4 stations
2017-01-24: 4 stations
1961-02-25: 4 stations
1966-01-23: 4 stations
1990-12-03: 4 stations
2004-12-23: 4 stations
1978-01-26: 4 stations
1970-12-17: 3 stations
1979-02-26: 3 stations
1986-12-25: 3 stations
2019-12-14: 3 stations
2019-12-30: 3 stations
2023-01-26: 3 stations
1982-02-03: 3 stations
2003-12-17: 3 stations
2010-12-12: 3 stations
1960-02-18: 3 stations
1991-01-11: 3 stations
1992-12-10: 3 stations
1998-01-28: 3 stations
1998-02-23: 3 stations
2009-12-26: 3 stations
2013-02-08: 3 stations
2018-12-28: 3 stations
2009-12-03: 3 stations
2010-12-13: 3 stations
2014-01-11: 3 stations
1994-01-17: 3 stations
2014-02-05: 3 stations
2021-02-01: 3 stations
2023-12-28: 3 stations
2003-02-17: 3 stations
2003-12-14: 3 stations
2002-12-11: 3 stations
2011-01-26: 3 stations
1973-12-05: 3 stations
1978-01-17: 3 stations
1969-01-30: 3 stations
1971-12-06: 3 stations
1977-12-05: 3 stations
1979-01-07: 3 stations
2011-02-28: 3 stations
2002-12-25: 3 stations
1973-12-20: 3 stations
1998-01-07: 3 stations
2022-01-17: 3 stations
2022-02-17: 3 stations
1999-12-14: 3 stations
2010-02-26: 3 stations
1961-02-26: 3 stations
1996-12-14: 3 stations
1981-02-02: 3 stations
2018-01-13: 3 stations
1990-01-30: 3 stations
2022-02-03: 3 stations
1966-12-29: 2 stations
1968-12-15: 2 stations
1975-12-10: 2 stations
1977-12-21: 2 stations
2005-12-16: 2 stations
2012-12-18: 2 stations
1960-01-03: 2 stations
1979-01-08: 2 stations
1983-01-11: 2 stations
2005-12-26: 2 stations
1964-01-09: 2 stations
1964-01-13: 2 stations
1997-12-29: 2 stations
2007-12-23: 2 stations
2012-12-26: 2 stations
1960-12-16: 2 stations
1967-12-29: 2 stations
1976-01-28: 2 stations
1978-01-14: 2 stations
1979-12-25: 2 stations
1982-12-16: 2 stations
1986-01-20: 2 stations
2003-12-15: 2 stations
2006-01-14: 2 stations
2014-12-10: 2 stations
2022-12-07: 2 stations
1977-02-24: 2 stations
1994-02-11: 2 stations
1967-12-28: 2 stations
1978-02-07: 2 stations
1984-02-24: 2 stations
1998-01-24: 2 stations
1975-12-31: 2 stations
1985-02-12: 2 stations
1993-01-05: 2 stations
1998-02-04: 2 stations
2003-12-24: 2 stations
2012-02-29: 2 stations
1965-02-07: 2 stations
1972-12-08: 2 stations
1979-02-19: 2 stations
2009-12-19: 2 stations
2018-12-15: 2 stations
2009-01-07: 2 stations
1995-02-04: 2 stations
1996-12-07: 2 stations
2006-02-12: 2 stations
1960-02-11: 2 stations
2013-02-27: 2 stations
1960-02-14: 2 stations
1982-01-23: 2 stations
2004-12-01: 2 stations
2020-02-07: 2 stations
2022-12-16: 2 stations
1984-12-29: 2 stations
1990-12-23: 2 stations
1995-01-15: 2 stations
2002-01-31: 2 stations
2007-01-15: 2 stations
2013-12-22: 2 stations
2023-02-09: 2 stations
2024-01-26: 2 stations
1997-02-27: 2 stations
1997-12-30: 2 stations
1976-01-26: 2 stations
2021-01-16: 2 stations
1960-01-13: 2 stations
1966-02-14: 2 stations
1969-12-11: 2 stations
1962-01-07: 2 stations
1983-12-14: 2 stations
1993-02-13: 2 stations
2002-12-12: 2 stations
2013-01-31: 2 stations
1978-01-08: 2 stations
1981-02-11: 2 stations
2000-12-16: 2 stations
2008-01-11: 2 stations
2017-02-25: 2 stations
2010-02-24: 2 stations
1971-01-04: 2 stations
2008-12-24: 2 stations
1967-02-23: 1 stations
1971-02-08: 1 stations
1992-01-23: 1 stations
2015-01-27: 1 stations
2016-12-29: 1 stations
2024-01-13: 1 stations
1996-02-21: 1 stations
2011-01-12: 1 stations
2023-01-23: 1 stations
1961-01-01: 1 stations
1970-12-16: 1 stations
1971-12-07: 1 stations
1987-01-26: 1 stations
2003-01-03: 1 stations
2006-01-23: 1 stations
2010-02-23: 1 stations
2010-12-26: 1 stations
2012-12-08: 1 stations
2013-12-29: 1 stations
2022-01-29: 1 stations
1961-12-05: 1 stations/local1/storage1/jml559/miniconda3/envs/climdyn/lib/python3.7/site-packages/pygeode/view.py:283: UserWarning: <Var 'sid'> is supposed to return a str, but is returning str32
  warn ("%s is supposed to return a %s, but is returning %s"%(repr(var),var.dtype.name,values.dtype.name))

1968-02-03: 1 stations
1969-01-01: 1 stations
1969-02-10: 1 stations
1972-12-13: 1 stations
1976-02-02: 1 stations
1976-12-26: 1 stations
1977-01-29: 1 stations
1983-12-07: 1 stations
1986-01-03: 1 stations
1989-12-03: 1 stations
1992-01-05: 1 stations
1993-12-11: 1 stations
1995-01-16: 1 stations
1997-01-10: 1 stations
1999-01-09: 1 stations
2000-02-14: 1 stations
2002-02-27: 1 stations
2002-12-20: 1 stations
2003-02-02: 1 stations
2005-02-10: 1 stations
2005-12-02: 1 stations
2013-02-28: 1 stations
2016-12-01: 1 stations
2017-01-25: 1 stations
2018-01-23: 1 stations
2020-01-12: 1 stations
2021-12-06: 1 stations
2023-01-13: 1 stations
2023-02-17: 1 stations
1960-12-12: 1 stations
1964-01-20: 1 stations
1962-12-05: 1 stations
1969-02-24: 1 stations
1977-01-07: 1 stations
1981-12-15: 1 stations
1983-02-17: 1 stations
1984-02-16: 1 stations
1992-12-12: 1 stations
2002-12-14: 1 stations
2012-12-27: 1 stations
1961-02-08: 1 stations
1961-12-18: 1 stations
1987-01-19: 1 stations
1988-01-20: 1 stations
1991-12-01: 1 stations
1992-02-15: 1 stations
1994-02-23: 1 stations
1996-02-03: 1 stations
1998-12-13: 1 stations
1999-01-24: 1 stations
2005-01-30: 1 stations
2009-12-13: 1 stations
2010-01-17: 1 stations
2020-12-14: 1 stations
2022-01-03: 1 stations
1969-12-22: 1 stations
1974-12-01: 1 stations
1978-12-24: 1 stations
2003-02-16: 1 stations
2023-12-17: 1 stations
1964-12-12: 1 stations
2000-01-25: 1 stations
1989-02-21: 1 stations
1983-12-04: 1 stations
1965-01-02: 1 stations
1965-01-23: 1 stations
1983-01-15: 1 stations
1993-02-16: 1 stations
2002-02-10: 1 stations
2004-12-10: 1 stations
1964-12-04: 1 stations
1986-02-21: 1 stations
2003-01-04: 1 stations
2014-02-14: 1 stations
2019-12-01: 1 stations
1977-12-09: 1 stations
1982-01-10: 1 stations
1982-01-11: 1 stations
1982-01-31: 1 stations
1990-02-22: 1 stations
1990-12-29: 1 stations
1993-12-24: 1 stations
1998-02-17: 1 stations
2001-12-24: 1 stations
2001-12-28: 1 stations
2003-12-25: 1 stations
2008-12-27: 1 stations
2013-12-21: 1 stations
2014-02-20: 1 stations
2019-12-04: 1 stations
2020-12-26: 1 stations
2022-01-06: 1 stations
2022-12-24: 1 stations
1962-02-14: 1 stations
1965-12-25: 1 stations
1966-01-31: 1 stations
1974-02-22: 1 stations
1975-12-09: 1 stations
1991-12-29: 1 stations
1994-01-04: 1 stations
1996-01-03: 1 stations
2007-12-02: 1 stations
2017-01-17: 1 stations
2019-02-12: 1 stations
2023-01-04: 1 stations
1962-01-15: 1 stations
1964-12-25: 1 stations
1966-12-07: 1 stations
1966-12-25: 1 stations
1970-12-09: 1 stations
1971-02-23: 1 stations
1972-02-04: 1 stations
1972-12-12: 1 stations
1984-12-28: 1 stations
1985-02-24: 1 stations
1992-01-14: 1 stations
1993-01-31: 1 stations
1994-02-24: 1 stations
1995-12-14: 1 stations
1998-01-05: 1 stations
1999-01-18: 1 stations
2015-01-04: 1 stations
2020-01-11: 1 stations
1979-01-20: 1 stations
1962-12-07: 1 stations
1971-12-31: 1 stations
1972-02-14: 1 stations
1982-02-01: 1 stations
1990-02-16: 1 stations
1992-12-31: 1 stations
1998-01-09: 1 stations
1998-12-02: 1 stations
1998-12-04: 1 stations
1998-12-11: 1 stations
1998-12-22: 1 stations
1999-12-15: 1 stations
2007-01-06: 1 stations
2007-12-12: 1 stations
2015-12-27: 1 stations
2016-12-18: 1 stations
2019-01-01: 1 stations
2020-02-27: 1 stations
2022-02-18: 1 stations
2023-02-23: 1 stations
1961-01-20: 1 stations
1964-02-19: 1 stations
1965-02-08: 1 stations
1967-01-28: 1 stations
1976-01-01: 1 stations
1994-01-18: 1 stations
1996-01-08: 1 stations
2000-12-14: 1 stations
2003-01-02: 1 stations
2004-02-07: 1 stations
2006-12-23: 1 stations
2008-02-02: 1 stations
2013-12-07: 1 stations
2016-01-24: 1 stations
1981-02-23: 1 stations
1984-02-14: 1 stations
2022-12-22: 1 stations
1963-12-08: 1 stations
1981-02-01: 1 stations
2004-02-03: 1 stations
1970-12-04: 1 stations
1973-01-20: 1 stations
1983-02-03: 1 stations
2002-02-01: 1 stations
2009-12-27: 1 stations
2015-12-29: 1 stations
1962-02-23: 1 stations
1966-01-02: 1 stations
1966-01-22: 1 stations
1975-01-29: 1 stations
1975-02-23: 1 stations
1978-12-03: 1 stations
1978-12-08: 1 stations
1979-02-25: 1 stations
1988-02-02: 1 stations
1989-02-15: 1 stations
1990-12-15: 1 stations
1990-12-18: 1 stations
1991-12-02: 1 stations
1999-01-14: 1 stations
2001-12-17: 1 stations
2004-01-04: 1 stations
2005-01-05: 1 stations
2006-01-02: 1 stations
2008-12-19: 1 stations
2011-02-21: 1 stations
2017-01-03: 1 stations
2018-02-15: 1 stations
2018-12-20: 1 stations
2020-01-24: 1 stations
2024-01-28: 1 stations
1960-02-26: 1 stations
1964-01-21: 1 stations
1981-12-02: 1 stations
1986-01-27: 1 stations
1986-12-19: 1 stations
1988-02-16: 1 stations
1999-02-03: 1 stations
2006-01-03: 1 stations
2007-01-08: 1 stations
2010-01-18: 1 stations
2012-01-12: 1 stations
2015-12-24: 1 stations
2020-12-01: 1 stations
2024-12-12: 1 stations
1986-01-19: 1 stations
2010-02-10: 1 stations
1969-12-08: 1 stations
1971-02-27: 1 stations
1972-12-06: 1 stations
1973-01-29: 1 stations
1986-12-18: 1 stations
1962-01-16: 1 stations
1963-12-09: 1 stations
1971-02-14: 1 stations
1972-02-20: 1 stations
1974-12-17: 1 stations
1975-02-25: 1 stations
1977-02-25: 1 stations
1978-01-18: 1 stations
1987-01-03: 1 stations
1990-12-24: 1 stations
1994-01-05: 1 stations
1995-02-28: 1 stations
1996-01-20: 1 stations
2000-02-28: 1 stations
2002-12-26: 1 stations
2010-12-02: 1 stations
2016-02-17: 1 stations
2018-12-22: 1 stations
2020-01-26: 1 stations
[1.49, 1.2, 1.42, 0.99, 1.38, 1.49, 1.36, 1.42, 1.4, 1.34, 1.54, 0.95, 1.02, 0.99, 0.78, 0.8, 1.4, 0.85, 1.26, 1.2, 1.03, 0.83, 0.96, 1.85, 1.34, 1.38, 1.45, 0.86]
